# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Metzgerei Werner Koch;Außenliegend 13;36329 Romrod;;HE 20259;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Werner Volk;Hauptstraße 120;64753 Brombachtal;;HE 10214;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Wilhelm und Markus Schmidt;Hauptstraße 30;63699 Kefenrod;;HE 10209;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Willi Wenzel, Inhaber Wilhelm Wenzel;Gebrüder-Grimm-Straße 2;63667 Nidda;;HE 10270;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Zarges & Schmand, Inhaber Thomas Schmand;Flughafenstraße 69;64546 Mörfelden-Walldorf;;HE 10375;;;;;;B, P;;;;;;;;P, A;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei, Groß- und Einzelhandel Herold & Sohn GbR, Geschäftsführer: Frank Herold;Fauerbacher Straße 82;61169 Friedberg (Hessen);;HE 10259;;;;;B, O, P;B, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;METRO LOGISTICS Germany GmbH, Standort Groß-Gerau;Union Brauerei-Straße 6;64521 Groß-Gerau;;HE 10802;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
HE;Milupa GmbH;Schleyerstraße 4;36041 Fulda;EV 8-3, HE 006;HE 30900;;;;;;;;;;;;;;;;mp;;;;;;;;;;B, C, O, S;;;;;;;;;;;;;;;;;;
HE;Moos GbR;Berghof 1;61389 Schmitten;;HE 10193;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Morth's Hofladen;Eschwegerstraße 28;37215 Witzenhausen;;HE 30266;;;;;P;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Transthermos Kontraktlogistik GmbH;Falderbaumstraße 37;34123 Kassel;;HE 30001;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Naturdarm GmbH;Ohmstraße 1;35325 Mücke;;HE 21300;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
HE;Naturdarmveredelung und -handel;Kruppstraße 6;36041 Fulda;;HE 30354;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei und Partyservice Lukarsch GmbH;Frankfurter Straße 28;63688 Gedern;;HE 10233;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Unkel e.K.;Hainstraße 12;35216 Biedenkopf;;HE 20172;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Alfred Renken;Rotenburger Straße 19;29640 Schneverdingen;;NI 10279;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Andreas Engelmann;Heidestraße 18;37412 Herzberg am Harz;;NI 10491;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Arens;Versener Straße 14;49716 Meppen;;NI 10423;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Asmus;Untere Straße 38;37589 Kalefeld;;NI 10766;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Aue;Speckenstraße 12;37434 Bodensee;;NI 10903;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Keese GbR;Reherweg 8;31855 Aerzen;;NI 10403;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Barning GmbH;Dorfstraße 8;28844 Weyhe;;NI 10841;;;;;B, O;B, O, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Baumann;Marktstraße 11;38707 Altenau;;NI 10330;;;;;O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Behnke;Maschstraße 7;38723 Seesen;;NI 10267;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Bernd Zimmermann GmbH;Vogelberg 33d;29227 Westercelle;;NI 10241;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Bothe;Höhlenweg 11;38642 Goslar;;NI 10605;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Bremer GmbH;Lindenstraße 14;38312 Flöthe;;NI 10504;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Bruns;Gartenstraße 10;49401 Damme;;NI 10294;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Bultmann, Inh. Jürgen Bultmann;Steinweg 1;31547 Rehburg-Loccum;;NI 10433;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Christian Tuitjer;Am Warf 2;26847 Detern;;NI 10173;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Sostmann Fleischwaren GmbH & Co. KG;Münsterstraße 26;49565 Bramsche;EZ 1743, EV 1743;NI 11743;;;;;;B, O, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Stevens Truthahn - Delikatessen GmbH;Vahrener Weg 1;49696 Molbergen;EZG 287;NI 22287;;;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;TDM GmbH;Dieselstraße 12;49716 Meppen;EK 968; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;TRANSTHERMOS GmbH Tiefkühl - Logistikcenter Oyten;Lübkemannstraße 18;28876 Oyten;;NI 13280;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;TULIP Fleischwaren Oldenburg GmbH;Georg-Böltz-Straße 10;26135 Oldenburg (Oldenburg);NI-EUZ 568, NI-EV 568, NI-EV 568; ;;;X;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Japan(VI,PP);
NI;TULIP Food Company GmbH;Dollenweg 5;48465 Schüttorf;NI-EUZ 601, EZ 609, EV 30, EV 30; ;;;X;;;S, B, C, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;Japan(VI,PP);
NI;Versandschlachthof Lähden Ficker & Henke GmbH;Schillerberg 5;49774 Lähden;ES 354;NI 20000;;;;;B, C, O, P, S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Vogler Fleisch GmbH & Co. KG;OT Steine 15;29487 Luckau (Wendland);ES 306, EZ 306; ;;;;;B, C, O, P, S;S, B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Volkswagen Service Factory - Fleischerei; ;00000 Wolfsburg;NI-EV 212; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;von Höne Fleischwaren GmbH;Hauptstraße 17;49577 Ankum;EZG 285; ;;;;;;;;A, L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Werner Schulte GmbH & Co. KG;Ruhrbachstraße 8;49688 Lastrup;EV 1363; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Wichmann Enten GmbH;Tivolistraße 1;26188 Edewecht;NI EZG 235;NI 11498;;X;;;;;;A;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Nienburger Geflügelspezialitäten Zweigniederlassung der Oldenburger Geflügelspezialitäten GmbH & Co. KG;Schulstraße 8;31613 Wietzen;ESG 3, EZG 113, EZG 113;NI 31613;;;;;;;A;A;;;;;;A;;;;;;;;;;;;;;;;;;;;;;;;;;Die Zulassungsnummern ESG 3 und EZG 113 dürfen noch bis zum 31.03.2016 verwendet werden.;;;;
NI;Wilhelm Massa GmbH & Co. KG Winsener Fleischwaren;Dieselstraße 12;21423 Winsen (Luhe);EV 1473; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Müller Menü GmbH & Co. KG;Melkerstieg 16;21217 Seevetal;NI-EV 406; ;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Wurst-Basar Konrad Hinsemann GmbH;Chemnitzer Straße 7;30952 Ronnenberg;EZ 1158, EV 1158;NI 11158;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;Die Zulassungsnummern EV 1158 und EZ 1158 dürfen noch bis zum 30.09.2015 verwendet werden.;;;;
NI;Zwischenahner Kühl- und Lagerhaus Haake;Kranstraße 1;26160 Bad Zwischenahn;EK 711; ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Aalräucherei Goslar GmbH & Co. KG;Großenheidorner Straße 44;31515 Wunstorf;NI-EFB 031; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Apel - Räucherei und Fischhandel;Escheröder Straße 2;34355 Staufenberg;NI-EFB 216; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
RP;Metzgerei Bittman;Rathausstraße 21;67585 Dorn-Dürkheim;;RP 16022;;;;;;S, B, O, P, C;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Claus Spindelböck GmbH;Otto-Wolf-Straße 6;56626 Andernach;;RP 15003;;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Dieter Sekulla;Promenade 22;67583 Guntersblum;;RP 16007;;;;;S, B, O, P, C;S, B, O, P, C;;A, L;;;;wL, wU, wG, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Ece Schlachterei GmbH (Frischfleischhandel);Mainzer Straße 62;55283 Nierstein;;RP 16030;;;;;;B, O;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Oskar Manz;Oberdassen 6;36093 Künzell;;HE 31030;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Ottmar Günther;Mühlweg 3;36358 Herbstein;;HE 20146;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Paradieshof-Metzgerei Müller;k.a. 0;36142 Tann (Rhön);;HE 30227;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Party Service & Metzgerei Mahl;Hanauer Straße 14;61194 Niddatal;;HE 10170;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Party Service Rommel;Engelsbergstraße 10a;36142 Tann (Rhön) - Knottenhof;;HE 30317;;;;;B, C, O, P;B, C, O, P;;;fG;fG;;;B, P;B, P, fG;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Partyservice-Catering-Fleischerei Buss;Gartenstraße 6;35516 Münzenberg;;HE 10182;;;;;B, O, P, C;B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
HE;Paul-Gerhard-Hoof;Stengershof 8;35713 Eschenburg;;HE 20135;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Peter Fay;Hof 1;35415 Pohlheim;;HE 20150;;;;;B;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Peters Hofladen;Schulstraße 1;63674 Altenstadt;;HE 10207;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Rainer Schauer Fleischgroßhandel;Carl-Benz-Straße 1;60386 Frankfurt am Main;;HE 10335;;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Reinhard Magel;Teichstraße 6;35315 Homberg (Ohm);;HE 20292;;;;;;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Reuschel GmbH;Am Bahnhof 1;34454 Bad Arolsen;;HE 31025;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;PTG Verpackungsservice GmbH - Werk Fernwald;Industriestraße 3a;35463 Fernwald;;HE 20901;;;;;;;;;;;;;;;;;;;;;;X;;X;;B;;;;;;;;;;;;;;;;;;
HE;Rund um die Wurst, Inh. Eric Ihrig;Güttersbacher Straße 8a;64756 Mossautal;;HE 10227;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Sahinler Dönerproduktion;Carl-Benz-Ring 15;35423 Lich;;HE 20100;;;;;;B;;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Norbert Künkel;Rother Straße 11;35713 Eschenburg;;HE 21021;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
HE;O.P.A.L. Catering GmbH, Inh.: Hans-Peter Leva und Felicitas Friedmann;Kettelerstraße 99;63075 Offenbach;;HE 10033;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;Catering/Großküche;;;;
NI;Fleischerei Christians;II. Kirchstraße 1;27243 Harpstedt;;NI 10517;;;;;B, O, P;B, O, P;;;;;;;B, O, P;B, O, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Detlef Fischer;Steinförder Straße 10;29323 Wietze;;NI 10334;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Dieter Hüper;Zum Oberntor 16;31832 Springe;;NI 10278;;;;;B, O, P;B, O, P;;;;;;;B, O, P;B, O, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Dirksen;Hauptstraße 1881;26639 Wiesmoor;;NI 10146;;;;;B, P;B, P;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei E. Ramme;Dorfstraße 8;38542 Leiferde;;NI 10642;;;;;;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Ernst Adolf und Jörg Friedrichs GbR;Knesebecker Straße 25;29378 Wittingen;;NI 10382;;;;;B, O, P;B, O, P, C;;;;;;;B, O, P, C;B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Fachgeschäft H. Ackerstaff;Oberfletmer Straße 8;26844 Jemgum;;NI 10209;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Felix Stangneth;Langenstraße 32;21781 Cadenberge;;NI 10163;;;;;B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Frank Kükemück;Drosselweg 10;29351 Eldingen;;NI 10224;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Friedrich-Wilhelm Lange;Hemeringer Straße 4;31840 Hessisch Oldendorf;;NI 10225;;;;;B, P;;;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Fritz Luers;Am Esch 4;26655 Westerstede;;NI 10221;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Fleischerei Georg Meyerhoff;Backenmoorer Straße 6;26817 Rhauderfehn;;NI 10516;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;Appel Feinkost GmbH & Co. KG;Neufelder Schanze 1;27472 Cuxhaven;NI-EFB 016;NI 27472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;Die Zulassungsnummer NI-EFB 016 darf noch bis zum 31.12.2017 weiterverwendet werden.;;;;
NI;Bernd Kück;Langenhausen 24;27442 Gnarrenburg;NI 414; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
NI;Bohlsen Räucherfisch OHG;Niedersachsenstraße 10;27472 Cuxhaven;NI-EFB 006; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Caldenhof Convenience GmbH;Untere Eschstraße 9;49179 Ostercappeln;NI-EFB 509; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;de Beer GmbH & Co. Krabbenhandels-KG;An den Darren 1;26736 Greetsiel;;NI 11067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Die Räucherei Kunkel;Klosterhörn 2;27419 Klein Meckelsen;NI-EFB 099; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;DMV - Fonterra Excipients GmbH & Co. KG;Lauenförder Straße 5;37176 Nörten-Hardenberg;NI 200; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
NI;Eipro-Vermarktung GmbH & Co. KG;Gewerbering 20;49393 Lohne (Oldenburg);NI-EP 002;NI 12002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
NI;Elsdorfer Feinkost AG;Molkereistraße 6;27404 Elsdorf;NI 410; ;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
NI;Etelser & Alperi Käsewerk GmbH;Delmenhorster Straße 22;28816 Stuhr-Seckenhausen;NI 066;NI 20066;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
NI;F(R)ISCH-LOGISTIK LÜHMANN GmbH & Co. KG;Grodener Chaussee 61;27472 Cuxhaven;NI-EFB 400; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;FMS Kiel, Deutsche Fischfang Union GmbH & Co. KG; ;00000 Cuxhaven;NI-EFS 002; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
NI;Forellen Abel GmbH;Welsestraße 23;27777 Ganderkesee;NI-EFB 101, NI-EFU 101; ;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Forellenteichwirtschaft Grevenhof Michael Engelhardt;Grevenhof 5;29646 Bispingen;NI-EFB 404; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Friedrich Bruns GmbH;Feldlinie 5;26160 Bad Zwischenahn;NI-EFB 074; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;G.F. Wendt GmbH, Seefischgroßhandel und Spezialräucherei;Niedersachsenstraße 1;27472 Cuxhaven;NI-EFB 014; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Gehrke Viedt GbR;Ostlandstraße 1;38464 Groß Sisbeck;;NI 11214;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
NI;Gold-Korn-Ei GmbH;Hornbruch 6;27389 Fintel;NI-EP 005;NI 20005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
NI;H.J. Heinz GmbH;Harzstraße 10;38723 Seesen;NI-EFB 103; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Heino Erich Böger e. Kfm.;Strandstraße 2;27638 Wremen;NI-EFB 010; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;Heinrich Hoppe GmbH & Co. KG;Mittelweg 10;28832 Achim;NI 408, NI EFB 412; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;X;;;;;;;;;;
NI;Heidefisch GmbH;Meinholz 1;29649 Wietzendorf;;NI 11413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
NI;SOS-Hof Bockum Käserei;Bockum 10;21385 Rehlingen;NI 400;NI 11949;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;Die Zulassungsnummer NI 400 darf noch bis zum 28.02.2015 verwendet werden.;;;;
NI;Hof Kuhnigunde;Hauptstraße 23;37434 Bodensee;NI 216; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
NI;DMK  Deutsches Milchkontor GmbH  - Werk Georgsmarienhütte;Raiffeisenstraße 1;49124 Georgsmarienhütte;NI 059; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
NI;Käserei Schneider;Dammstraße 14;37194 Bodenfelde;NI 205; ;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
RP;Metzgerei Erschfeld;Rheinstraße 50;56593 Horhausen;;RP 01018;;;;;B;B, P;;;;R, fG;;wL, wU, wG, wA;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
RP;Metzgerei Freund OHG;Friedrich-Ebert-Straße 45;56581 Melsbach;;RP 17005;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Gehrlein;Hauptstraße 1;76777 Neupotz;;RP 10009;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Geib;Schmiedgasse 4;55585 Duchroth;;RP 11007;;;;;;S, B, O, P, C;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Georg;Zum Herrenberg 58;56850 Enkirch;;RP 23012;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Gerhard Tempel;Leininger Straße 11;67098 Bad Dürkheim;;RP 08006;;;;;;S, B, O, P, C;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Metzgerei Hambel Original hausgemachte Pfälzer Wurstwaren;Hintergasse 1;67157 Wachenheim;;RP 08023;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;SB Union Großmarkt GmbH;Gottlieb-Daimler-Straße 13;35398 Gießen;;HE 20171;;;;;;;;;;;;;;S, B, O, P, C, A, L, fG, wL, R, wU, wA;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;SB Union Großmarkt GmbH Eschwege;Thüringer Straße 13;37269 Eschwege;;HE 30231;;;;;;;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schäfer GmbH, Der Vogelsberger;Frauenberg 48;36329 Romrod;;HE 20256;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schäferei Steffen Jestädt;Kreisstraße 15a;36148 Kalbach;;HE 30316;;;;;O;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schafschlachterei Moussa Massoumi-Khaveh, Inhaberin Angelika Massoumi-Khaveh;Kirchweg 41;34314 Espenau;;HE 30180;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlacht- und Zerlegebetrieb Edelmann, Inhaber Karl-Dieter Edelmann;Hofwiese 4-4a;64743 Beerfelden;;HE 10279;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtbetrieb Bachmann;k.a. 0;34639 Schwarzenborn;;HE 30181;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtbetrieb Erdmann;Götzenhain Außerhalb 1;63303 Dreieich;;HE 10363;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtbetrieb Heinrich Fröhlich;Bergstraße 11;36391 Sinntal;;HE 10346;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtbetrieb Hornung;k.a. 0;00000 k.a.;;HE 20104;;;;;S, B, O, P, C;S, B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtbetrieb und Selbstvermarktung Anton Schick;Kirchweg 10;35043 Marburg;;HE 20185;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachterei Meißner;Daudenbergstraße 7;34549 Edertal;;HE 30123;;;;;B, P;B, P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schlachtstätte Emmerich;Erich-Rhode-Straße 6;34613 Schwalmstadt;;HE 30334;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Schwalenstöcker & Gantz GmbH;Frankenberger Landstraße 20;34497 Korbach;;HE 30273;;;;;;B, P;;A;;;;;B, P;B, P, A;;mp;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;
HE;Selbstvermarktung Bernd Link;Thaidener Straße 3;36115 Hilders;;HE 30315;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RP;Seniorenzentrum Kastellaun;Südstraße 14;56288 Kastellaun;;RP 19028;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;X;;;;;X;;;;;;;;;;
