# Bundesland;Name des Betriebs ;Straße / Haus-Nr.;Ort;Alte Zulassungs-nummern;Neue Zulassungsnummer;Zulassungsnummer Eierpackstellen;CS;RW;WM;SH;CP;SH;CP;SH;CP;GHE;CP;MM;MP;MSM;PP;CC;PP;CC;PP;CC;PP;CC;PP;CC;PP;EPC;LEP;PP;AH;FV;ZV;FFPP;PP;WM;PC;DC;PP;Einschränkungen;Bemerkungen;Zulassung befristet bis;Zulassung ruht seit;Drittlandzulassungen;
HE;Metzgerei Lutz;Lengfelder Straße 13;64853 Otzberg;;HE 10196;;;;;B, O, P;B, O, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Mandler;Hauptstraße 6;35452 Heuchelheim;;HE 20214;;;;;B, P;B, P;;;;;;wU, wG, wA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Marienhof, Inh. Heinz Becker;Schleifweg 9;64331 Weiterstadt;;HE 10256;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Markus Bode;Taunusstraße 16;63225 Langen;;HE 10241;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Markus Kratz;Neuer Weg 1b;35305 Grünberg;;HE 20274;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Meub;Niddastraße 14;63691 Ranstadt;;HE 10168;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Metzgerei Michel GbR;Hauptstraße 84;35460 Staufenberg;;HE 20268;;;;;;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Heerich GbR;k.a. 0;37235 Hessisch Lichtenau;;HE 30141;;;;;P;P;;;;;;;P;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Heinrich Schneider;Aulastraße 11;36280 Oberaula;;HE 31035;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Heinz Karb, Kreuzhof;Biedensandstraße 33;68623 Lampertheim;;HE 10351;;;;;P;P;;;;;;;;P;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Helmut Christ Naturdärme;k.a. 0;65527 Niedernhausen;;HE 10006;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hephata - Alsfelder BioFleisch, Frau Lieselotte Haremza;Pfarrwiesenweg 5;36304 Alsfeld;;HE 20126;;;;;B, O, P, C;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hephata Diakoniezentrum e. v. Bio-Geflügelhof Leuderode;Heinrich-Ruppel-Straße 19;34621 Frielendorf;;HE 31002;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Herbert Hofmann;Ulbacherstraße 14a;36399 Freiensteinau;;HE 20127;;;;;B, P;;L;;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Herbert Müller;Niedermeiser Landstraße 15;34369 Hofgeismar;;HE 31028;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Hessisches Diakoniezentrum e.V.;Elisabeth-Seitz-Straße 2;34613 Schwalmstadt;;HE 30342;;;;;;;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hinkelmann GmbH, Großschlachterei und Viehhandel;Johann-Wichern-Straße 8;35096 Weimar;;HE 20203;;;;;B, P;B, P;;;;;;;;;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofgut Entenfang, Inhaberin Ines Hoß;k.a. 0;63633 Birstein;;HE 10349;;;;;B, C, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofgut Gnadenthal Jesus-Bruderschaft e. V.;k.a. 0;65597 Hünfelden;;HE 20156;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofkäserei Fleckenbühl gemeinnützige und mildtätige GmbH;Fleckenbühl 6;35091 Cölbe;;HE 20904;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
HE;Hofladen Herbert Appel;Webergasse 22;63699 Kefenrod;;HE 10232;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofladen Köppen;Bahnhofstraße 24;63303 Dreieich;;HE 10358;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofladen Schneider, Inhaber Volker Schneider;Auf der großen Hohl 1;65510 Hünstetten;;HE 10328;;;;;B, P;B, P;;;;;;;;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hofmetzgerei Fürnstall, Hof Plankenhausen;k.a. 0;65614 Beselich;;HE 20233;;;;;B, O, P, C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Hohmann's Echte, Hausmacher Wurstwaren;Eichenbergstraße 3;37296 Ringgau;;HE 30265;;;;;P;P;;;;;;;;P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Jörg Rohde;In der langen Grund 1a;37217 Witzenhausen;;HE 30153;;;;;B, O, P;B, O, P;;;fG;fG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Jürgen Ax;Bubenheimer Hof 1;65597 Hünfelden;;HE 20234;;;;;B, O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Jürgen Siebert;k.a. 0;34298 Helsa;;HE 30134;;;;;B, P;B, P;;;;;;;B, P;B, P;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Kaiserhof;Ober Eschbacher Straße 45;61352 Bad Homburg;;HE 10213;;;;;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Karl Heinz Hohl;Langensteiner Straße 13;35260 Stadtallendorf;;HE 20201;;;;;B, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Karl Mehl, Fleischgroßhandel GmbH & Co. KG, Inhaber Harald Mehl;Rodauer Straße 70;64625 Bensheim;;HE 10139;;;;;;S, B, O, P, C;;;;;;;S, B, O, P, C;S, B, O, P, C;;mp;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Karl und Bertold Reimann GbR;Kirchstraße 5;35685 Dillenburg;;HE 20272;;;;;B, O, P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Karlheinz Kohl;Rossertstraße 2;65439 Flörsheim;;HE 10231;;;;;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Käserei Kellerwaldhof;Heideweg 1;34596 Bad Zwesten;;HE 30903;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;;;;;;;;;;;;;;;
HE;Katadyn Deutschland GmbH;Hessenring 23;64546 Mörfelden-Walldorf;;HE 10013;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;kff Kurhessische Fleischwaren GmbH;Kruppstraße 6;36041 Fulda;;HE 30132;;;;;;B;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HE;Kirsten Martin;Gudensberger Straße 15;34281 Gudensberg;;HE 31029;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
HE;Klaus Hlawaty;Waldhof 1;34637 Schrecksbach;;HE 31011;;;;;;;;;;;;;;;;;;;;;;;;;;S, B, O, C;;;;;;;;;;;;;;;;;;
