Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
327;64592493;Del Maître SA;Route de Satigny 60;1242;Satigny GE;PP; CP (I),  MP (V),  PP (XII);A, B, O, P;;
329;51917789;Reber Ernst Sutter AG;Güterstrasse 12;3550;Langnau im Emmental BE;PP; RW (0),  WM (0),  SH (I),  CP (I),  CP (III),  MP (V);A, B, C, O, P, S, L, fG;mp;
332;76670060;Copro Comestibles Produktion AG;Sommeristrasse 37a;8580;Amriswil TG;PP; FFPP (VIII),  MP (VIII);;;
334;52258120;Jowa AG Regionalbäckerei Aargau;Bäckerstrasse 1;5722;Gränichen AG;PP; MM (V),  MP (V),  PP (VIII),  MP (VIII),  PP (IX),  PP (XI);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;fl, sn;
336;41600856;Bell Schweiz AG, Charcuterie Basel;Elsässerstrasse 174;4056;Basel BS;PP; MP (V),  PP (X);A, B, C, O, P, S, L, fG, wU;;
337;40385469;Rubli Marthalen AG;Alti Ruedelfingerstrass 26;8460;Marthalen ZH;PP;;B, P;mp;
338;54495051;Pastinella, Zweigniederlassung der Orior Menu AG;Industriestrasse 40;5036;Oberentfelden AG;PP; MM (V),  MP (V),  PP (VIII),  MP (VIII),  PP (XI);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;fl, sn;
339;74333546;Gastromer SA Produits Alimentaires;Rue du Champ-Blanchod 14;1228;Plan-les-Ouates GE;PP; PC (VII),  PP (VIII),  FFPP (VIII);A, B, P, L, fG, wA, wU;;
340;51963654;Micarna SA;rte de l'Industrie 25;1784;Courtepin FR;PP; RW (0),  WM (0),  SH (I),  CP (I),  GHE (IV),  MM (V),  MP (V);A, B, O, P, S, wU;;
347;73973394;Metzgerei Angst AG;Herdernstrasse 61;8004;Zürich ZH;PP; RW (0),  WM (0),  CP (I),  CP (IV),  GHE (IV),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU;mp;
349;41231939;Givaudan Schweiz AG;Überlandstrasse 138;8600;Dübendorf ZH;PP; PP (VIII),  MP (VIII),  PP (IX);A, B, C, O, P, wU;bl, mp, pap;
351;46892434;Orior Menu AG - Le Patron;Rohrmattstrasse 1;4461;Böckten BL;PP;;A, B, C, O, P, S, L, fG;mp;
352;41486644;Orior Menu AG - Le Patron;Zelgstrasse 79;3661;Uetendorf BE;PP; RW (0),  WM (0),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
354;70929286;Bigler AG Fleischwaren, Zerlegerei Lyss;Industriering  36;3250;Lyss BE;PP; CS (0),  RW (0),  WM (0),  CP (I),  MP (V);A, B, C, O, P, S, L, fG, R;mp;
355;66659386;Zerlegerei Hans Felder AG Fleischwarenproduktion;Wintersried 12;6423;Seewen SZ;PP; CP (I),  MM (V),  MP (V);B, O, P;;
357;42917266;Bell Schweiz AG, Geflügel Zell;Zelgmatte 1, Postfach ;6144;Zell LU LU;PP; CP (I),  SH (II),  CP (II),  CP (III),  GHE (IV),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU;;
358;64743003;Micarna SA Division volaille;rte de l'industrie 25;1784;Courtepin FR;PP; RW (0),  SH (II),  CP (II),  MM (V),  MP (V),  MSM (V);A;;
40014670;40014670;BOUCHERIE LEDERMANN & CIE;route du Marchairaz 12;1045;Bière VD;PP; WM (0),  SH (I),  CP (I);B, O, P;;
40016128;76596187;Suter Viandes SA;Route de Pré au Bruit 3;1844;Villeneuve VD;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R;mp;
40071679;40071679;Salumificio Sciaroni Pio;via El Stradun 10;6513;Monte Carasso TI;PP; CP (I);B, P;;
40121188;40121188;Salumi Val Mara SA;viale B. Longhena ;6817;Maroggia TI;PP;;A, B, P, S, wU;mp;
40247272;40247272;Menzi Metzgerei Partyservice;Hauptstrasse 31;8756;Mitlödi GL;PP;;B, C, O, P, S, wU;mp;
40261738;40261738;Erwin Jenny AG Fleischwaren;Bleichenbergstrasse 48;4562;Biberist SO;PP; CS (0),  RW (0),  WM (0),  MP (V);A, P;mp;
40281619;40281619;Panella Frischgebäck AG;Altgasse  48;6340;Baar ZG;PP; PP (IX);B, P;;
40377159;40377159;Rubli Rauchfleisch- Spezialitäten AG;Dorfstrasse 11;8447;Dachsen ZH;PP; GHE (IV);B, O, P, wU;mp;
40442263;40442263;Metzgerei Spahni AG;Wegmühlegässli 6;3072;Ostermundigen BE;PP; RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  MP (V);A, B, C, O, P, S, L, fG, R;;
40589913;40589913;Cher Mignon SA; ;3971;Chermignon VS;PP;;B, O, P;;
40700113;40700113;Michel Ebener SA;Chemin des Mûriers 1 1;1967;Bramois VS;PP;;B, C, O, P;;
40704317;40704317;Montandon SA, Boucherie-Charcuterie;Grand-Rue  13;2316;Les Ponts-de-Martel NE;PP; CS (0),  RW (0),  CP (I),  MP (V);B, P;bl, mp;
40809160;40809160;Albert Spiess AG, Fleischtrocknerei;Hauptstrasse   ;7075;Churwalden GR;PP;;B, P, wU;;
40898092;40898092;Gebr. Strässle AG, Metzgerei & Party-Service;Tramstrasse 31;5034;Suhr AG;PP; GHE (IV),  MM (V),  MP (V),  PP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
40930353;75586271;BODENMANN METZGEREI AG;Gewerbestrasse 2;9562;Märwil TG;PP; MM (V),  MP (V);A, B, C, O, P, L, wU;;
40940770;40940770;Metzgerei Herrmann AG;Hauptstr. 29;8583;Sulgen TG;PP; SH (I),  CP (I),  SH (III),  CP (III),  CP (IV),  GHE (IV);B, C, O, P, S, fG, wU;bl, mp;
40988547;40988547;Köferli AG Metzgerei ;Hauptstrasse 37;5312;Döttingen AG;PP; CP (I),  GHE (IV),  MM (V),  MP (V),  PP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
40990085;40990085;Sandmeier Fleisch und Feinkost AG;Hauptstrasse 27;5742;Kölliken AG;PP; SH (I),  SH (II),  SH (III),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VIII),  MP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
41020801;74162846;Bernet AG Metzgerei Schlachtanlage;Hauptstrasse 17;4324;Obermumpf AG;PP; GHE (IV),  MM (V),  MP (V),  PP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;fl, sn;
41028140;41028140;Pius Balmer, Metzgerei;Sinserstrasse 9;5646;Abtwil AG AG;PP; SH (I),  GHE (IV),  MM (V),  MP (V),  PP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
41058962;41058962;Arcari Backwaren AG;Industriestrasse  5;5604;Hendschiken AG;PP; PP (IX);A, B, C, O, P, L;;
41152690;41152690;Genossenschaft Migros Ostschweiz;Industriestr.  47;9201;Gossau SG SG;PP; CP (I),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
41279459;74143204;HOTZ Fleisch Wurst Traiteur;Zürichstrasse 8;8610;Uster ZH;PP; CS (0),  RW (0),  WM (0),  CP (I),  MM (V),  MP (V);A, B, C, O, P, L, fG;;
41344998;41344998;Genossenschaft Migros Aare, Produktion Fleisch;Industriestrasse 9;3321;Schönbühl Einkaufszentrum BE;PP; RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  MM (V),  MP (V);A, B, C, O, P, S, L, fG;mp;
41554278;41554278;Genossenschaft Migros Luzern, in Dierikon;Industriestrasse 2;6036;Dierikon LU;PP; CP (I),  CP (II),  MM (V),  MP (V);B, O, P;mp;
41563932;41563932;O. Dormann AG Metzgerei oDo-Produkte;Schubertstrasse 6;6004;Luzern LU;PP; CP (I),  CP (II),  CP (III),  MP (V);A, B, O, P, S, fG;;
41683983;41683983;Hugo Willimann AG, Spezialitäten-Metzg;Luzernstrasse  1;6252;Dagmersellen LU;PP; CP (I),  CP (II),  MP (V);A, B, C, O, P, S, L;mp;
41685362;41685362;Vonwyl Fleisch GmbH;Albiswilerstrasse 7;6218;Ettiswil LU;PP; SH (I),  CP (I);B, C, O, P;mp;
41686937;41686937;Klostermetzgerei Haas AG;Murhofstr. 2;4915;St. Urban LU;PP; SH (I),  CP (I),  CP (II),  SH (III),  CP (III),  MP (V);B, C, O, P, S;;
41955752;41955752;Dolder Frères SA Triperie;Route de Grandfey 11;1700;Fribourg FR;PP; PP (XIII);B;st;
42037890;73972521;Jenzer Fleisch + Feinkost AG;Ermitagestrasse 16;4144;Arlesheim BL;PP; CP (I);A, B, C, O, P, S, L, fG, R;mp;
42137112;42137112;Metzgerei Lustenberger AG;Wolhuserstarsse 15;6122;Menznau LU;PP; CP (I);A, B, O, P, S, L, fG;;
42137746;42137746;Küpfer Peter;Oberdorf ;6166;Hasle LU LU;PP; SH (I),  CP (I);B, C, O;;
42181195;42181195;Krebs Gourmet AG;Fabrikstrasse  10;3427;Utzenstorf BE;PP; RW (0),  WM (0),  PP (X);A, B, P;mp;
42182508;74178097;Mérat + Cie AG;Mühlemattstrasse 55;3007;Bern BE;PP; RW (0),  WM (0),  CP (I),  CP (III),  MM (V),  MP (V);B, C, O, P, S, fG;mp;
42285726;64270592;Metzgerei Künzli Fabrikation;Mülistrasse 7;8143;Stallikon ZH;PP; GHE (IV),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wU;mp;
45026421;45026421;Guma AG;Grabenstrasse 2;8865;Bilten GL;PP; PP (IX);A, B, P;mp;
45027975;45027975;Rageth Comestibles AG;Riedlöserstr. 3;7302;Landquart GR;PP; PP (VIII),  FFPP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
45253220;45253220;Geiser AG;Rietbachstrasse 11 ;8952;Schlieren ZH;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  MSM (V);A, B, C, O, P, S, L, fG, R, wU, wG;mp;
45777275;73973939;Lötterle Tösstaler Schinkenräucherei AG;Oberzelgstrasse 2;8493;Saland ZH;PP; RW (0),  MP (V);B, P, S, R;mp;
46014967;46014967;Salumificio del Castello Capoferri & Co AG;Gorla ;6874;Castel San Pietro TI;PP; CP (I),  MP (V),  WM (VIII);C, P, fG;;
46719856;46719856;Kneuss Ernst Geflügel AG;Eichlistrasse 5;5506;Mägenwil AG;PP; CS (0),  RW (0),  SH (II),  CP (II);;mp;
46759712;71116353;Eiche Metzgerei + Party-Service AG;Binningerstrasse 110;4123;Allschwil BL;PP; CP (I);A, B, C, O, P, S, L, fG, R;mp;
50410597;50410597;Micarna SA;Wilerstr. 46;9602;Bazenheid SG;PP; CS (0),  RW (0),  WM (0),  CP (I),  MP (V),  PP (XIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;bl, mp, st;
50683631;50683631;Etablissements de Bellechasse;Schlachtlokal / Postfach ;1786;Sugiez FR;PP; SH (I),  CP (I);A, B, C, O, P, S;;
51121153;74162186;G. M. Viande de Chevaline en Gros G. Mueller;Les Petits Champs 1;1400;Yverdon-les Bains VD;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV);A, B, S, L, fG, R;mp;
51821458;51821458;Soc. Coop. Migros-Genève, Traiteurs Party;Rue Alexandre-Gavard  35;1227;Carouge GE GE;PP; PP (VIII),  MP (VIII),  PP (IX),  PP (X);A, B, O, P, S, fG, R, wU;mp;
51940678;51940678;Breitenmoser Appenzeller Fleischspezialitäten AG;Sägehüslistrasse 12;9050;Appenzell AI;PP; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VIII),  MP (VIII);A, B, C, O, P, S, L, fG, wU, wG;mp;
51959752;51959752;Metzger Gabriel AG;Hauptstrasse 5;6386;Wolfenschiessen NW;PP; SH (I),  CP (I),  MP (V);A, B, P;;
51959752;51959752;Metzger Gabriel AG;Hauptstrasse 5;6386;Wolfenschiessen NW;PP; SH (I),  CP (I),  MP (V);A, B, P;;
51973495;51973495;Gattiker - Ernst Sutter AG;Schwerzistrasse 34;8807;Freienbach SZ;PP; RW (0),  CP (I),  MP (V);A, B, O, P;;
51980005;51980005;Salami S.A.;Rue Tivoli 7;1635;La Tour-de-Trême FR;PP;;B, C, O, P;mp;
51982222;76427385;Lehnherr S.A.;Chemin des Chapons-des-Prés 18;2022;Bevaix NE;PP; RW (0),  CP (I),  CP (II),  CP (III),  CP (IV),  DC (VII),  PP (VIII),  FFPP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
52035244;52035244;Produits Epagny;Route de Gruyères 4;1663;Epagny FR;PP; MP (V);B, O, P;;
52106722;72798293;Otto Felder, Metzgerei;Bahnhofstrasse 4;5430;Wettingen AG;PP; GHE (IV),  MM (V),  MP (V),  PP (VIII),  MP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
52108342;52108342;F&W, Ernst Sutter AG;Schlachthofstr. 11;9015;St. Gallen SG;PP; CP (I),  MM (V),  MP (V),  MSM (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
52123712;52123712;O. Braunwalder AG, Fleisch- & Wurstproduktion;Schützenmattweg 37;5610;Wohlen AG AG;PP; MM (V),  MP (V);B, C, O, P, wL, wU, wG;mp;
52208224;52208224;Ernst Sutter AG Viaca;Schaubernstrasse 2;6232;Geuensee LU;PP; CP (I),  CP (II),  MP (V);A, B, P;;
52235207;52235207;KADI AG. Kühl- und Tiefkühlprodukte;Thunstettenstrasse  27;4901;Langenthal BE;PP; RW (0),  WM (0),  WM (VIII),  PP (VIII),  FFPP (VIII);A, B;mp;
52237948;52237948;Reichmuth Fleischwaren AG;Schützenstrasse 43;6430;Schwyz SZ;PP; SH (I),  CP (I),  CP (II);A, B, C, O, P;;
5224;65710795;Ceposa AG  Lebensmittel;Hafenstrasse 4;8280;Kreuzlingen TG;PP; RW (0),  PP (VIII),  PP (IX);P;;
52295473;52295473;Rudolf Schär AG;Aegetli ;9425;Thal SG;PP; CP (I),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
52761512;52761512;Marc Genoud, Viandes Sechées; ;3961;Vissoie VS;PP;;B, C, O, P;;
52892235;52892235;Salmo Fumica AG;Landstrasse 126;5415;Nussbaumen AG AG;PP; PP (VIII);A, B, O, fG, R, wA;;
53171864;53171864;Grauwiler Fleisch AG;Hagenaustrasse 25;4056;Basel BS;PP; MM (V);A, B, C, O, P, L;mp;
53221394;53221394;Mulhaupt Comestibles;Route de la Charbonnière 1;1032;Romanel-sur-Lausanne VD;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  DC (VII),  WM (VIII),  PP (VIII),  FFPP (VIII),  PP (XI);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
53253307;53253307;Fässler Franz;Rinkenbach  33;9050;Appenzell AI;PP; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VIII);A, B, C, O, P, S, L, fG, wU;mp;
53982969;75395800;H. Moser und Söhne AG, Fleischwaren;Rigackerstrasse 4;5610;Wohlen AG;PP; MP (V);B, P;;
54344840;54344840;Blatter Metzgerei AG;Wiler Str. 8;9517;Mettlen TG;PP; SH (I),  CP (I),  SH (II),  CP (II),  CP (IV),  GHE (IV),  MP (V);B, C, O, P, S, L, wU, wG;bl, mp;
60081484;60081484;Viandes Riviera;Rue du Collège 42;1815;Clarens VD;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  WM (VIII),  PP (VIII),  MP (VIII),  PP (XI),  PP (XII),  PP (XIII);A, B, C, O, P, S, L, fG, R, wA, wL, wG;bl, mp, st;
61673441;61673441;Spezialitäten Metzg Wetter, Markus Wetter;Dorfstrasse 44;9108;Gonten AI;PP; CP (I),  CP (II),  CP (III),  CP (IV);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp, st;
62260125;75658727;Orello Carne SA;via Cantonale ;6964;Davesco-Soragno TI;PP; MP (V);B, P, S;;
62364415;62364415;Gate Gourmet Switzerland GmbH Catering Aerien / QVGP;route de l'Aéroport 1;1216;Cointrin GE;PP; RW (0);A, B, C, O, P, S, L;mp;
62557171;74929119;Canonica SA;chemin des Batailles 18;1214;Vernier GE;PP; RW (0);A, B, C, O, P, L;mp;
63310044;40700417;Gabriel Fleury SA;Route du Moulin 34;3977;Granges VS VS;PP;;B, P;;
63593380;63593380;LSG Sky Chefs - First Catering Schweiz AG;Grindelstrasse 11;8303;Bassersdorf ZH;PP; CS (0),  RW (0),  WM (0);A, B, C, O, P, L, fG, R, wA, wL, wU;;
64272406;64272406;Heinzer Metzgerei GmbH;Hauptstrasse 23;6436;Muotathal SZ;PP; SH (I),  CP (I),  CP (II);A, B, C, O, P, L;;
65086348;65086348;Schalom AirCatering AG;Cherweg 4;8152;Glattbrugg ZH;PP; PP (VIII);A, B, O;;
65133427;65133427;Frostag Food-Centrum; ;7302;Landquart GR;PP; CS (0),  RW (0),  PP (VIII),  MP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
65298238;65298238;Traitafina AG Fleischprodukte;Niederlenzer Kirchweg 12;5600;Lenzburg AG;PP; MM (V),  MP (V),  PP (VIII);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;fl, sn;
65519400;65519400;Ogiz S. A.;Rue des Uttins 36;1400;Yverdon-les Bains VD;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (XII);A, B, C, O, P, S, L, fG, R, wA, wL;mp;
66174241;66174241;Boucherie Blanc SA;Grand-Rue 64;1618;Châtel-St-Denis FR;PP; CP (I),  CP (II),  CP (III),  MM (V),  MP (V);A, B, O, P, S, L, fG;mp;
66500516;66500516;Serfrè AG;via Campagna Adorna 9;6850;Mendrisio TI;PP; CS (0),  CP (I),  CP (II),  CP (III),  WM (VIII);A, B, O, P, S;mp;
66875801;66875801;Skin Packing S.A.;ZI les Avouillons 20;1196;Gland VD;PP; CS (0),  RW (0),  CP (I),  CP (II),  CP (III),  MP (V);A, B, C, O, P, S, L, fG, R, wL;mp;
67023691;67023691;Migros Deli Factory;Pfingstweidstrasse 101;8005;Zürich ZH;PP; PP (VIII);A, B, O, P, L, fG, R;;
67093971;67093971;Swiss Caps AG;Husenstrasse 35;9533;Kirchberg SG;PP; RW (0),  PP (VIII),  PP (IX),  PP (X),  PP (XII),  PP (XIV),  PP (XV);A, B, C, O, P, S, L, fG, R;pap;
67613482;67613482;Gate Gourmet Switzerland GmbH;Gate Gourmet Catering Zürich / QVZ ;8058 ;Zürich-Flughafen ZH;PP;;A, B, C, O, P, L, fG, R, wA, wL, wU;;
67639480;67639480;Bell Schweiz AG, Charcuterie Gossau;Industriestrasse 109;9200;Gossau SG SG;PP; MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
68058690;68058690;Panetta SA, Spezialbrote & Backwaren;Steinhaldenstrasse 14;8954;Geroldswil ZH;PP; CS (0),  RW (0);A, B, P;;
68272108;68272108;Boucherie-Charcuterie-Traiteur Jean-Jacques Jemmely;Rue du Collège 11;1260;Nyon VD;PP; CS (0),  RW (0),  CP (I),  CP (II),  CP (III),  MP (V);A, B, C, O, P, S, L, fG, R, wL;mp;
68847770;68847770;Coop Bäckerei Wallisellen;Birgistrasse 4;8304;Wallisellen ZH;PP;;P;;
68886628;68886628;Abattoirs Simon Rouiller SA;ch. des Abattoirs 6;1627;Vaulruz FR;PP; SH (I),  CP (I),  SH (III),  CP (III),  MM (V);B, O;;
68952961;68952961;La Bordelaise SA;Bahnhofstrasse  15;4448;Läufelfingen BL;PP;;A, B, C, O, P, S, L, fG;;
68983687;73864324;Maurer Spezialitäten;Talstrasse 55;4112;Flüh SO;PP; WM (0);B, P;mp;
69283860;75992782;Merve Dönerproduktion AG;Industriestrasse  5;5604;Hendschiken AG;PP; MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
69737394;69737394;Domino Food AG;Herbergstrasse 29;9524;Zuzwil SG SG;PP; CS (0),  RW (0),  WM (0),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wU;mp;
70637222;70637222;Lucarna Macana AG Zerlegebetrieb;Wildbachstrasse 20;8340;Hinwil ZH;PP; CP (I);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
70637243;70637243;Moser Fleischhandel AG Zerlegebetrieb;Herdernstrasse 61;8004;Zürich ZH;PP; CP (I);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;;
70833175;70833175;H.R. Kyburz Vieh + Fleisch AG;Dorfstrasse 32;5242;Lupfig AG;PP; CP (II),  MP (V);B, P, L;;
70929265;70929265;Bigler AG Fleischwaren, Wursterei;Scheurenrainweg 2;3294;Büren an der Aare BE;PP; PP (XI);B, C, O, P, S, fG;mp;
71215514;71215514;Metzgerei Spahni AG;Meienstrasse 7;3052;Zollikofen BE;PP; RW (0),  WM (0),  MP (V);A, B, C, O, P, S, L, fG, R, wA, wL, wU, wG;mp;
71496502;70002294;CARNA GALLO AG;Steinacker 19;9556;Affeltrangen TG;PP; MM (V),  MP (V);A, B, O, fG, wU;;
71650387;71650387;Fuster Rauchspezialitäten GmbH;Gyrenbad 129;8488;Turbenthal ZH;PP; CS (0),  RW (0);B, O, P, S, fG;;
72066285;72066285;Mérat & Cie SA;Route de Carrouge 20;1509;Vucherens VD;PP; CS (0),  CP (I);B, O, P, S;;
72249530;72249530;Ziegler Delikat Essen AG;Aspstrasse 12;8154;Oberglatt ZH;PP; CS (0),  RW (0),  WM (0),  MM (V),  MP (V);A, B, C, O, P, S, L, fG, R, wU;mp;
72319381;72319381;Bolliger Fleisch AG;Weststrasse 25;8570;Weinfelden TG;PP; CS (0),  RW (0),  WM (0),  MM (V),  MP (V);A, B, O;;
72355484;72355484;Carnosa AG;Gaswerkstrasse 76;4900;Langenthal BE;PP; RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  MP (V);A, B, C, O, P, S, L, fG, R;mp;
73006523;73006523;Metzgerei Würmli AG Fleischverarbeitung;Juchstrasse 29;8500;Frauenfeld TG;PP; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  MM (V),  MP (V),  MSM (V);A, B, O, P, S;mp;
73765493;73765493;Fleischtrocknerei Churwalden AG;Riedlöserstrasse 11;7302;Landquart GR;PP; RW (0),  MP (V);A, B, C, O, P, S, L, fG;mp;
74021004;74021004;Hügli Nährmittel AG;Industriestrasse  15;9015;St. Gallen SG;PP; CS (0),  RW (0),  PP (VIII),  MP (VIII),  PP (IX),  PP (X);A, B, P;mp, pap;
74582595;74582595;Micarna SA;Pfingstweidstrasse  101;8005;Zürich ZH;PP; CP (I),  MM (V),  MP (V);B, C, O, P, S, L;mp;
80552763;40430247;Minnig Metzgerei AG;Industriestrasse 2;8608;Bubikon ZH;PP; MM (V),  MP (V);A, B, O, P, S;mp;
81936594;81936594;Rapelli SA, Alpe Piora;via Laveggio  13;6855;Stabio TI;PP;;P;;
81936620;81936620;Rapelli SA Burg Montebello;via Laveggio 13;6500;Bellinzona TI;PP;;S;;
86191143;86191143;Salumificio del Castello Capoferri & Co. SA;Via Basilica  6;6834;Morbio Inferiore TI;PP;;P;;
87226195;87226195;Pastinella Zweigniederlassung ORIOR MENU AG;Mülacher  5;6024;Hildisrieden LU;PP; CS (0);B;;


Sektion VII 15 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
339;74333546;Gastromer SA Produits Alimentaires;Rue du Champ-Blanchod 14;1228;Plan-les-Ouates GE;PC; PP (VI),  PP (VIII),  FFPP (VIII);;;
51500147;76126243;Tipesca SA; ;6806;Sigirino TI;DC; CS (0),  RW (0),  WM (0);;;
51982222;76427385;Lehnherr S.A.;Chemin des Chapons-des-Prés 18;2022;Bevaix NE;DC; RW (0),  CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI),  PP (VIII),  FFPP (VIII);;;
53221394;53221394;Mulhaupt Comestibles;Route de la Charbonnière 1;1032;Romanel-sur-Lausanne VD;DC; CS (0),  RW (0),  WM (0),  CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  PP (VI),  WM (VIII),  PP (VIII),  FFPP (VIII),  PP (XI);;;
53365430;53365430;FLS Furness Lagerhaus & Spedition AG;Lachmattstrasse 120;4133;Pratteln BL;DC; WM (VIII);;;
60572910;75574229;Lucas Frères SA;Le Verger ;1417;Essertines-sur-Yverdon VD;DC; CS (0),  RW (0),  WM (0),  WM (VIII),  FFPP (VIII);;;
61712818;61712818;Zahner Fischhandel AG;Hof 15;8737;Gommiswald SG;DC; CS (0),  RW (0),  WM (VIII),  FFPP (VIII),  PP (XI);;;
61753699;61753699;G. Bianchi AG, Comestibles;Allmendweg 6;5621;Zufikon AG;DC; CS (0),  RW (0),  GHE (IV),  MP (V),  PP (VIII),  PP (XI);;;
64472484;64472484;Serra - Poissons Frais;Rue du Port 40;1815;Clarens VD;DC; CS (0),  RW (0),  WM (0),  WM (VIII),  FFPP (VIII);;;
65719866;75467046;COVEDIS SA; ;1010;Lausanne VD;DC; CS (0),  RW (0),  CP (I),  PP (VIII);;;
65912996;75490600;Perches-Import S.A. Poissons & Produits Alimentaires;chemin du Crêt  2;1279;Chavannes-de-Bogis VD;DC; CS (0),  RW (0),  WM (0),  CP (II),  CP (III),  WM (VIII),  PP (X),  PP (XI);;;
66001529;66001529;Spaccio Ittico SA;via al Piano 12;6926;Montagnola TI;DC; CS (0),  WM (0),  WM (VIII),  FFPP (VIII);;;
70911886;70911886;Stadel Fischimport AG Fischverteilhalle;Lachmattstrasse 1 ;4133;Pratteln BL;DC; CS (0),  RW (0),  PP (VIII),  FFPP (VIII),  AH (VIII);;;
74582684;74582684;Micarna SA, Seafood Fischverarbeitung;Pfingstweidstrasse  101;8005;Zürich ZH;DC; CS (0),  RW (0),  WM (0),  WM (VIII),  PP (VIII),  FFPP (VIII);;;
74952804;74952804;Micarna SA Seafood;Chemin du Dévent ;1024;Ecublens VD VD;DC; CS (0),  FFPP (VIII);;;


Sektion VIII 85 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
061;42040474;Unilever Schweiz GmbH;Bahnhofstrasse 19;8240;Thayngen SH;PP; CS (0),  RW (0),  PP (VI);;;
115;42135665;Gustav Spiess AG Fleischprodukte;Musterplatzstrasse 2;9442;Berneck SG;PP; CS (0),  RW (0),  SH (I),  CP (I),  MM (V),  MP (V),  PP (VI),  PP (X),  PP (XII),  PP (XIII);;;
214;67452754;Givaudan Schweiz AG;Winterthurerstrasse ;8310;Kemptthal ZH;PP, MP; PP (VI),  PP (IX),  PP (XII);;pap;
2159;40498093;Societa Anonima Luigi Ghioldi e Ci.;Via Cantonale 1;6855;Stabio TI;WM; CS (0),  RW (0),  WM (0);;;
216;52056223;Hügli Nährmittel AG;Bleichestrasse 31;9323;Steinach SG;PP, MP; CS (0),  RW (0),  PP (VI),  PP (IX),  PP (X),  PP (XII),  PP (XIV),  PP (XV);;pap;
224;1805;Hilcona AG;Bendererstrasse 21;9494;Schaan FL;PP; CS (0),  RW (0),  PP (VI);;;
