Resultat der Anfrage

Treffer: 3570
Sektion 0 285 Treffer

Bew.Nr.;BURNR;Name;Strasse;PLZ;Ort/Kanton;Kategorie;weitere Aktivitäten;Spezies;Bem.;
2461;40262548;Molkerei Lanz AG;Bolacker 11;4564;Obergerlafingen SO;RW, WM; PP (IX);;;
2466;52090198;Mifa AG Frenkendorf Wasch- & Reinigungsmittel;Rheinstrasse 99;4402;Frenkendorf BL;RW; PP (IX),  PP (XII);;;
275;52097612;Albert Spiess AG Fleischwaren;Hauptstrasse ;7220;Schiers GR;RW; CP (I),  CP (III),  GHE (IV),  PP (VI),  PP (IX);;;
283;41837960;Bell Schweiz AG, Frigo;Neudorfstrasse 90;4056;Basel BS;CS;;;;
291;45275177;Kühlhaus Neuhof AG;Kühlhausstrasse 1;9200;Gossau SG SG;CS;;;;
297;41018383;Tiefkühlhaus AG;Wiesenstrasse 1;8865;Bilten GL;CS, RW;;;;
298;66385232;Frigosuisse AG Kühlhäuser;Industriestrasse 21;4313;Möhlin AG;CS;;;;
299;52164279;Meinen AG Grossmetzgerei & -Wursterei;Schwarztorstrasse 76;3007;Bern BE;RW, WM; CP (I),  CP (III),  MP (V),  PP (VI);;;
3009;70215612;Molkerei Saanen Beat Locher;Dorfstrasse 88;3792;Saanen BE;RW, WM; PP (IX);;;
301;52030251;Ospelt food AG;Tiefrietstr. 7 ;7320;Sargans SG;CS, RW; MM (V),  MP (V),  PP (VI),  PP (VIII),  FFPP (VIII),  PP (IX),  PP (X);;;
302;51917422;GAUTSCHI SPEZIALITAETEN A.G.;Industriering 8;3427;Utzenstorf BE;RW, WM; PP (VI),  WM (VIII),  PP (VIII),  FFPP (VIII),  MP (VIII),  PP (IX);;;
303;66109656;Oswald Nahrungsmittel GmbH;Hinterbergstrasse 30;6312;Steinhausen ZG;RW, WM; PP (VI);;;
3030;75608878;Peter Gertsch Molkerei;Spillstatt 2;3818;Grindelwald BE;RW, WM; PP (IX),  CC (IX);;;
3033;61415120;Molki Meiringen AG;Lenggasse 1;3860;Meiringen BE;RW, WM; PP (IX),  CC (IX);;;
3038;63388145;Molkerei Zaugg AG Urs Trösch Käserei;Käsereiplatz ;3264;Diessbach b. Büren BE;RW, WM; PP (IX);;;
3041;75554091;Biomilk AG Milchprodukte;Sägegasse 2;3110;Münsingen BE;RW, WM; PP (IX);;;
3045;41463427;Peter Schöni Molkerei & Lebensmittel;Kreuzgasse 6;3860;Meiringen BE;RW, WM; PP (IX);;;
305;52211667;Nutriswiss AG Speisefette / Lebensmittel;Industriering 30;3250;Lyss BE;RW, WM; PP (VI),  PP (IX),  PP (XII),  CC (XII);;;
309;52221288;Gemperli, Ernst Sutter AG;Schlachthofstrasse 5;9200;Gossau SG SG;CS, RW; PP (VI);;;
310;51686817;Grauwiler Fleisch AG Werk 2;Schlachthofstrasse 55;4056;Basel BS;CS, RW; CP (I),  PP (VI),  PP (VIII),  PP (IX),  PP (X);;;
313;73857201;Balik Räucherei im Toggenburg AG;Im Moos ;9122;Mogelsberg SG;CS, RW; PP (VIII),  FFPP (VIII);;;
315;73974047;MÖFAG, Mösli Fleischwaren AG;Industriestrasse 9;9524;Zuzwil SG SG;CS, RW; CP (I),  MP (V),  PP (VI);;;
317;45855944;Hilcona Gourmet S.A. Produits de Boulangerie;Z.I. Les Taborneires ;1350;Orbe VD;CS, RW, WM; PP (IX);;;
323;71101268;Bernard Wolf Pêcherie;La Combettaz ;1545;Chevroux VD;CS, RW, WM; WM (VIII),  PP (VIII),  FFPP (VIII);;;
324;40616493;Rapelli SA;Via laveggio 13;6855;Stabio TI;CS, WM; CP (I),  CP (II),  MM (V),  MP (V),  PP (VI);;;
329;51917789;Reber Ernst Sutter AG;Güterstrasse 12;3550;Langnau im Emmental BE;RW, WM; SH (I),  CP (I),  CP (III),  MP (V),  PP (VI);;;
3306;72484959;La Cabriolle SA  Fabrication de fromage François Jaquet;Rte des Lières 66;1666;Grandvillard FR;RW; PP (IX),  CC (IX);;;
331;69359928;STEF Schweiz AG;Sternmatt 8;6010;Kriens LU;CS;;;;
333;52085088;Nahrin AG, Nährmittelspezialitäten;Industriestrasse 27;6060;Sarnen OW;RW, WM;;;;
335;41913354;Agrifrance Produits Agro-Alimentaires;Chemin du Pré-Fleuri 10;1228;Plan-les-Ouates GE;CS;;;;
340;51963654;Micarna SA;rte de l'Industrie 25;1784;Courtepin FR;RW, WM; SH (I),  CP (I),  GHE (IV),  MM (V),  MP (V),  PP (VI);;;
342;61480114;Kühlhaus ''Universal'' AG Hegnau;Zürcherstrasse 35;8604;Volketswil ZH;CS;;;;
345;52054907;Barbey S.A.;Z.I. Les Loveresses ;1523;Granges-près-Marnand VD;CS, RW, WM;;;;
347;73973394;Metzgerei Angst AG;Herdernstrasse 61;8004;Zürich ZH;RW, WM; CP (I),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI);;;
352;41486644;Orior Menu AG - Le Patron;Zelgstrasse 79;3661;Uetendorf BE;RW, WM; MP (V),  PP (VI);;;
354;70929286;Bigler AG Fleischwaren, Zerlegerei Lyss;Industriering  36;3250;Lyss BE;CS, RW, WM; CP (I),  MP (V),  PP (VI);;;
358;64743003;Micarna SA Division volaille;rte de l'industrie 25;1784;Courtepin FR;RW; SH (II),  CP (II),  MM (V),  MP (V),  MSM (V),  PP (VI);;;
359;52130589;Lüthi & Portmann  AG;Lyssstrasse 14 b;3053;Deisswil b. Münchenbuchsee BE;CS, RW, WM; CP (I),  MM (V),  MP (V);;;
3650;62085429;Otmarsan Produkte AG;Rigiblickstrasse 98;6353;Weggis LU;RW, WM;;;;
40014670;40014670;BOUCHERIE LEDERMANN & CIE;route du Marchairaz 12;1045;Bière VD;WM; SH (I),  CP (I),  PP (VI);;;
40016128;76596187;Suter Viandes SA;Route de Pré au Bruit 3;1844;Villeneuve VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI);;;
40070586;40070586;Fivaz Vallorbe SA;Rue de Lausanne 31;1337;Vallorbe VD;CS, RW; PP (XI);;;
4010;41272909;Walter Wasserfallen Molkerei & Lebensmittel;Hauptstrasse 38;3250;Lyss BE;RW, WM; PP (IX);;;
4015;76962758;Fromages Spielhofer S.A.;Rue de l'Envers 16;2610;St-Imier BE;RW, WM; PP (IX);;;
40261738;40261738;Erwin Jenny AG Fleischwaren;Bleichenbergstrasse 48;4562;Biberist SO;CS, RW, WM; MP (V),  PP (VI);;;
40442263;40442263;Metzgerei Spahni AG;Wegmühlegässli 6;3072;Ostermundigen BE;RW, WM; CP (I),  CP (II),  CP (III),  MP (V),  PP (VI);;;
40513720;73973614;Metzgerei Kündig AG;Hof Neuthal ;8344;Bäretswil ZH;CS, RW; MM (V),  MP (V);;;
40654530;40654530;Brasilona S.A.;Rue du Châble-Bât 12;1920;Martigny VS;CS;;;;
40704317;40704317;Montandon SA, Boucherie-Charcuterie;Grand-Rue  13;2316;Les Ponts-de-Martel NE;CS, RW; CP (I),  MP (V),  PP (VI);;;
41066544;41066544;DSM Nutritional Products AG;Hauptstrasse 4;4334;Sisseln AG;RW; PP (VIII);;;
41162814;41162814;Favorit Geflügel AG;Industriering  36;3250;Lyss BE;RW, WM; CP (II),  MP (V);;;
41204914;41204914;Kühlhaus AG Winterthur;Schlachthofstr. 23;8406;Winterthur ZH;CS;;;;
41238117;41238117;Mastai, Comestibles en Gros;Sandgrubenstrasse 3;8409;Winterthur ZH;CS, WM;;;;
41279459;74143204;HOTZ Fleisch Wurst Traiteur;Zürichstrasse 8;8610;Uster ZH;CS, RW, WM; CP (I),  MM (V),  MP (V),  PP (VI);;;
41280009;41280009;Narimpex AG;Schwanengasse 47;2500;Biel/Bienne BE;RW, WM;;;;
41344998;41344998;Genossenschaft Migros Aare, Produktion Fleisch;Industriestrasse 9;3321;Schönbühl Einkaufszentrum BE;RW, WM; CP (I),  CP (II),  CP (III),  MM (V),  MP (V),  PP (VI);;;
41662920;41662920;Zentralschweizer Milchproduzenten, ZMP;Friedentalstr.  43;6002;Luzern LU;WM; CC (IX);;;
41819830;41819830;Bell Schweiz AG, Seafood;Neudorfstrasse 90;4056;Basel BS;CS, RW; PP (VIII);;;
4201;53298402;Fromagerie Moléson SA Fabrication;Pré de la Croix 121;1694;Orsonnens FR;RW; PP (IX);;;
42033503;42033503;Sousa Vins et Comestibles SA;Rue de Maillefer  11B;2000;Neuchâtel NE;CS, WM;;;;
42181195;42181195;Krebs Gourmet AG;Fabrikstrasse  10;3427;Utzenstorf BE;RW, WM; PP (VI),  PP (X);;;
42182508;74178097;Mérat + Cie AG;Mühlemattstrasse 55;3007;Bern BE;RW, WM; CP (I),  CP (III),  MM (V),  MP (V),  PP (VI);;;
42212529;42212529;Peter Zwahlen Fachgeschäft für Lammfleisch;Uttigenstrasse  138;3603;Thun BE;RW, WM; CP (I);;;
42355289;73815327;Metzger-Center Zürich, Einkaufsgenossenschaft des Metzgereigewerbes;Hardgutstrasse  11;8043;Zürich ZH;CS, RW, WM;;;;
42533997;73816430;Alberto Bonizzi AG Lebensmittelimport;Schweizergasse 21;8001;Zürich ZH;WM;;;;
4364;64510532;D. & J. Conod SA Fromagerie;Rue des Scies ;1446;Baulmes VD;RW, WM; PP (IX);;;
4412;42018573;Les Caves du Pelerin SARL Fromages, Vacherins & Vins;Rue du Mont d'Or 17;1343;Les Charbonnières VD;RW, WM; PP (IX);;;
4413;64286372;Charles et Patrick Hauser S.A. Fromagerie;Les Terreaux 8;1345;Le Lieu VD;RW, WM; PP (IX),  CC (IX);;;
45102098;45102098;Galliker Transport AG Transportunternehmung;Kantonsstrasse 2;6246;Altishofen LU;CS;;;;
45171903;45171903;Gastro-Metzg AG, Fleischwaren;Steinstrasse 22;8106;Adlikon b. Regensdorf ZH;CS, RW; MM (V),  MP (V);;;
45253220;45253220;Geiser AG;Rietbachstrasse 11 ;8952;Schlieren ZH;CS, RW, WM; CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  MSM (V),  PP (VI);;;
45320547;76614422;Emmi Interfrais SA Fänn;Zugerstrasse 60;6403;Küssnacht a.R. SZ;CS, RW, WM; PP (IX),  PP (X);;;
45777275;73973939;Lötterle Tösstaler Schinkenräucherei AG;Oberzelgstrasse 2;8493;Saland ZH;RW; MP (V),  PP (VI);;;
46443024;46443024;Nikki Trading Ltd, Import & Export Boyaux;Ch. Des Terrasses 32;1095;Lutry VD;CS, RW, WM; PP (XIII);;;
46719856;46719856;Kneuss Ernst Geflügel AG;Eichlistrasse 5;5506;Mägenwil AG;CS, RW; SH (II),  CP (II),  PP (VI);;;
46907279;76843433;Eggenschwiler Tiefkühlprodukte AG;Waldeggstrasse  4;4528;Zuchwil SO;CS, WM;;;;
4701;74004171;Flüeler Milch und Käsespezialitäten;Grunderbergstrasse 7;6055;Alpnach Dorf OW;RW, WM; PP (IX);;;
50367109;50367109;Sunray Division de Coop;Gallenweg  8;4133;Pratteln BL;RW;;;;
50410597;50410597;Micarna SA;Wilerstr. 46;9602;Bazenheid SG;CS, RW, WM; CP (I),  MP (V),  PP (VI),  PP (XIII);;;
50949496;50949496;Dörig & Brandl AG;Ballonstrasse 24;8952;Schlieren ZH;CS, RW; FFPP (VIII);;;
51000025;51000025;Ospelt food AG;Hauptstr. 10;9476;Weite SG;CS, RW; PP (VIII),  FFPP (VIII);;;
51121153;74162186;G. M. Viande de Chevaline en Gros G. Mueller;Les Petits Champs 1;1400;Yverdon-les Bains VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI);;;
51150552;51150552;Stähli Produits Fermiers SA;Rue du Temple 1;2105;Travers NE;RW; PP (IX),  CC (IX);;;
51370354;51370354;F.lli Terrani SA;Via Cremignone 2;6924;Sorengo TI;WM; CP (I),  CP (II),  MM (V),  MP (V),  WM (VIII);;;
51500147;76126243;Tipesca SA; ;6806;Sigirino TI;CS, RW, WM; DC (VII);;;
51586406;51586406;Anton Häfliger AG, Transporte & Logistik;Chommlibachstrasse  11;6210;Sursee LU;CS;;;;
51694781;51694781;Héritier Fromages SA;Route de Riddes 99;1950;Sion VS;CS, RW, WM; PP (IX);;;
51973495;51973495;Gattiker - Ernst Sutter AG;Schwerzistrasse 34;8807;Freienbach SZ;RW; CP (I),  MP (V),  PP (VI);;;
51982222;76427385;Lehnherr S.A.;Chemin des Chapons-des-Prés 18;2022;Bevaix NE;RW; CP (I),  CP (II),  CP (III),  CP (IV),  PP (VI),  DC (VII),  PP (VIII),  FFPP (VIII);;;
51992550;51992550;Andreas Hofstetter Lagerhaus AG;Industrie Unterflüh Süd ;5464;Rümikon AG AG;CS;;;;
52061951;52061951;GAG Gefrierhaus AG;Johs.-Brasselstrasse 22a;9430;St. Margrethen SG SG;CS;;;;
52104369;52104369;Frike Food AG;Howartstrasse 9;9642;Ebnat-Kappel SG;RW; PP (IX);;;
52235207;52235207;KADI AG. Kühl- und Tiefkühlprodukte;Thunstettenstrasse  27;4901;Langenthal BE;RW, WM; PP (VI),  WM (VIII),  PP (VIII),  FFPP (VIII);;;
5224;65710795;Ceposa AG  Lebensmittel;Hafenstrasse 4;8280;Kreuzlingen TG;RW; PP (VI),  PP (VIII),  PP (IX);;;
52822243;52822243;Vidal J. AG;Hauptstrasse 54a;8586;Erlen  TG;CS, RW; CP (I);;;
52896837;52896837;Pacovis AG, Gewürzmühle;Grabenmattenstrasse  19;5608;Stetten AG;RW; PP (IX),  PP (X),  PP (XIV),  PP (XV);;;
53221394;53221394;Mulhaupt Comestibles;Route de la Charbonnière 1;1032;Romanel-sur-Lausanne VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  PP (VI),  DC (VII),  WM (VIII),  PP (VIII),  FFPP (VIII),  PP (XI);;;
53469982;53469982;Reitzel (Suisse) SA;Route d'Ollon 14;1860;Aigle VD;RW; PP (VIII),  PP (IX),  PP (X);;;
53588825;53588825;Fromages Chaudron SA;L'Avancon ;1893;Muraz (Collombey) VS;CS, RW, WM; PP (IX);;;
54016988;54016988;HAVI Logistics GmbH;Ostringstrasse  11;4702;Oensingen SO;CS, WM;;;;
54430321;54430321;Frifag Märwil AG; ;; TG;CS, RW; SH (II),  CP (II),  MM (V),  MP (V),  MSM (V),  PP (XIII);;;
55032855;55032855;Delimpex AG;Eichenstrasse 11;8808;Pfäffikon SZ;CS, RW, WM;;;;
55241985;55241985;Phène Importation SA;Chemin des Aulx 7;1228;Plan-les-Ouates GE;CS;;;;
55483576;75550579;A. et P. Santos, commerce de poissons;Les Charrières ;1445;Vuiteboeuf VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  WM (VIII),  FFPP (VIII);;;
5611;75614714;Milchverwertungsgenossenschaft Schönried Molkerei;Hauptstrasse ;3778;Schönried BE;RW, WM; PP (IX);;;
5620;64110549;Molkerei Gstaad;Lauenenstrasse 24;3780;Gstaad BE;RW, WM; PP (IX);;;
5627;41399782;Lenk Milch AG Milchprodukte;Aegertenstrasse 2;3775;Lenk im Simmental BE;RW, WM; PP (IX);;;
5636;76679943;bonCas AG;Lyssstrasse 12;3293;Dotzigen BE;RW, WM; PP (IX);;;
5637;41371525;Biosana AG Reform- & Diätprodukte;Industriestrasse 16;3672;Oberdiessbach BE;RW, WM; PP (IX);;;
5699;40210377;Schwyzer Milchhuus AG Milchprodukte;Schützenstrasse 7;6430;Schwyz SZ;RW, WM; PP (IX),  CC (IX);;;
5743;62645147;FDS Fromagerie de Saignelégier SA;Chemin du Finage 19;2350;Saignelégier JU;WM; PP (IX),  CC (IX);;;
5767;69921577;Züger Frischkäse AG Oberbüren;Industrie Haslen 9;9245;Oberbüren SG;CS, WM; PP (IX);;;
5826;76886641;Caseificio dimostrativo del Gottardo SA; ;6780;Airolo TI;RW, WM; PP (IX);;;
5893;75836995;Molkerei Biedermann AG ;Schützengütlistrasse 2;9220;Bischofszell TG;CS, RW, WM; PP (IX);;;
5895;40946924;Strähl Käse AG  Käserei;Bahnhofstrasse 2;8573;Siegershausen TG;CS, RW, WM; PP (IX);;;
5898;50172869;Strähl Käse AG  Schmelzkäsewerk;Industriestrasse 10;8575;Bürglen TG TG;CS, RW, WM; PP (IX);;;
5974;53950773;Prario SA Produits Carnes;Praz-Riond 7;1303;Penthaz VD;RW, WM; PP (IX);;;
5975;78036032;Fromagerie MM Bory SA;Le Jordil ;1304;Dizy VD;RW, WM; PP (IX),  CC (IX);;;
5996;66023255;Fromagerie Fleurette SARL;Le Praz ;1659;Rougemont VD;RW; PP (IX),  CC (IX);;;
60081484;60081484;Viandes Riviera;Rue du Collège 42;1815;Clarens VD;CS, RW, WM; CP (I),  CP (II),  CP (III),  CP (IV),  GHE (IV),  MM (V),  MP (V),  PP (VI),  WM (VIII),  PP (VIII),  MP (VIII),  PP (XI),  PP (XII),  PP (XIII);;;
601;41642353;Widmer & Pagani AG Natur- & Kunstdärme;Industriestrasse 148;9015;St. Gallen SG;RW, WM; PP (XIII);;;
602;76453301;Max Ramp AG Därme;Grammetstrasse 8;4410;Liestal BL;RW, WM; PP (XIII);;;
603;70749251;Nad AG Naturdärme;Forrenstrasse 22;8718;Schänis SG;RW, WM; PP (XIII);;;
60572910;75574229;Lucas Frères SA;Le Verger ;1417;Essertines-sur-Yverdon VD;CS, RW, WM; DC (VII),  WM (VIII),  FFPP (VIII);;;
606;41101738;Darmhandels-AG, St. Gallen Schlachthausprodukten;Industriestrasse 15;9015;St. Gallen SG;RW, WM; PP (XIII);;;
61041404;61041404;Proderma Betriebs AG;Nebikerstrasse 60 12;6247;Schötz LU;RW; PP (XIV),  PP (XV);;;
61391978;61391978;Divina Food AG;Lerzenstrasse 19;8953;Dietikon ZH;WM;;;;
